chembl_id,paper_label,canonical_smiles,standard_inchi_key,source_document_id,candidate_scope
CHEMBL3344374,10,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)C[N+](C)(C)[O-])C[C@@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(F)cc1)OCCCC[C@H](C)O2,YFVYGGZSEKNYEB-DWYUEALBSA-N,PMC4207553,same_paper
CHEMBL3344375,11,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CNCC(C)(C)C)C[C@@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(F)cc1)OCCCC[C@H](C)O2,LXLWLDIYADPTQO-PUNARZIMSA-N,PMC4207553,same_paper
CHEMBL3344376,12,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CNCC(F)(F)F)C[C@@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(F)cc1)OCCCC[C@H](C)O2,NVSWNZZZUUPZHL-LJUIALDASA-N,PMC4207553,same_paper
CHEMBL3344377,13,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CN1CCOCC1)C[C@@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(F)cc1)OCCCC[C@H](C)O2,DDMCICAERZKXBA-PUNARZIMSA-N,PMC4207553,same_paper
CHEMBL3344378,14,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)OCCC2=O)cc1,JTUVOFSMVUNDIH-OLHJXYGRSA-N,PMC4207553,same_paper
CHEMBL3344379,15,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3ccc(F)cc3C2=O)cc1,FOMCSSAZPCOLMN-PUNARZIMSA-N,PMC4207553,same_paper
CHEMBL3344380,16,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3cc(F)ccc3C2=O)cc1,ZIWQPAKKBJUXCU-PUNARZIMSA-N,PMC4207553,same_paper
CHEMBL3344381,17,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3cc(C(F)(F)F)ccc3C2=O)cc1,DEDKSBSNMJOBPO-PUNARZIMSA-N,PMC4207553,same_paper
CHEMBL3344382,18,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3cccnc3C2=O)cc1,HZKRPZDBEGUAAG-XJVVAVADSA-N,PMC4207553,same_paper
CHEMBL3344383,19,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3ncccc3C2=O)cc1,XQENRBFJCLDGCX-XJVVAVADSA-N,PMC4207553,same_paper
CHEMBL1873309,2,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,BKTXRPJVVXUPPO-PNCWTNKOSA-N,PMC4207553,same_paper
CHEMBL3344384,20,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3nccnc3C2=O)cc1,UDKDJFWQMRARJO-OLHJXYGRSA-N,PMC4207553,same_paper
CHEMBL3342222,21,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3ncc(F)cc3C2=O)cc1,QNUILUQPJKRQMO-FYZNHFMZSA-N,PMC4207553,same_paper
CHEMBL3342223,22,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cccnc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,DTLOKQRQTQFJEL-GGLGADRISA-N,PMC4207553,same_paper
CHEMBL3342224,23,CCN(CC)C[C@H](C)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@H](C)Oc2ncccc2C1=O,HBVYXBCPVFASMJ-SGDZTBBFSA-N,PMC4207553,same_paper
