measurement_id,chembl_id,paper_label,endpoint,state,relation,value,error,units,assay_context,assay_id,assay_chembl_id,source_kind,source_ref
m_am_12_gi50,CHEMBL3344376,12,GI50,not_applicable,=,9.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123765
m_am_14_gi50,CHEMBL3344378,14,GI50,not_applicable,=,3410.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123767
m_am_16_gi50,CHEMBL3344380,16,GI50,not_applicable,=,38.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123769
m_am_19_gi50,CHEMBL3344383,19,GI50,not_applicable,=,59.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123772
m_am_2_gi50,CHEMBL1873309,2,GI50,not_applicable,=,0.54,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123755
m_am_29_gi50,CHEMBL3342228,29,GI50,not_applicable,=,20.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123780
m_am_3_gi50,CHEMBL3343648,3,GI50,not_applicable,=,1.4,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123756
m_am_30_gi50,CHEMBL3342229,30,GI50,not_applicable,=,71.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123781
m_am_31_gi50,CHEMBL3342230,31,GI50,not_applicable,=,6.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123782
m_am_33_gi50,CHEMBL3342232,33,GI50,not_applicable,=,76.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123784
m_am_34_gi50,CHEMBL3342233,34,GI50,not_applicable,=,17.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123785
m_am_4_gi50,CHEMBL3343649,4,GI50,not_applicable,=,32.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123757
m_am_40_gi50,CHEMBL3342435,40,GI50,not_applicable,=,0.88,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123791
m_am_5_gi50,CHEMBL3343650,5,GI50,not_applicable,=,4.2,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123758
m_am_9_gi50,CHEMBL3344373,9,GI50,not_applicable,=,5.0,,nM,plasmodium_falciparum_Dd2_asexual_blood_stage_growth,1442137,,ChEMBL,activity_15123762
m_am_14_sol,CHEMBL3344378,14,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123804
m_am_16_sol,CHEMBL3344380,16,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123806
m_am_19_sol,CHEMBL3344383,19,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123809
m_am_2_sol,CHEMBL1873309,2,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123792
m_am_29_sol,CHEMBL3342228,29,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123817
m_am_3_sol,CHEMBL3343648,3,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123793
m_am_30_sol,CHEMBL3342229,30,solubility,PBS_pH_7.4,=,99000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123818
m_am_33_sol,CHEMBL3342232,33,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123821
m_am_34_sol,CHEMBL3342233,34,solubility,PBS_pH_7.4,<,5000.0,,nM,pbs_kinetic_solubility_18h,1442138,,ChEMBL,activity_15123822
