chembl_id,paper_label,canonical_smiles,standard_inchi_key,source_document_id,candidate_scope
CHEMBL5555158,7,C=CC(=O)N1CCC(Oc2nc(-c3cnn(C)c3)cn3nccc23)CC1,VHRPNFQXOODJOD-UHFFFAOYSA-N,PMC11129193,same_paper
CHEMBL5505806,8,C=CC(=O)N1CC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,PURFNXYSZMLLDZ-CYBMUJFWSA-N,PMC11129193,same_paper
CHEMBL5549935,9,C=CC(=O)N1CCC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,HFXYLGFAPGBQBC-CQSZACIVSA-N,PMC11129193,same_paper
CHEMBL5558638,10,C=CC(=O)N1CCC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)CC1,BWAGOPAZDUZUSQ-OAHLLOKOSA-N,PMC11129193,same_paper
CHEMBL5556300,11,C=CC(=O)N1CC[C@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)[C@@H](F)CC1,WKZVBLHKFOJZEU-YOEHRIQHSA-N,PMC11129193,same_paper
CHEMBL5527884,12,C=CC(=O)N1CCC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)[C@@H](F)C1,YGYYTOJFABDWPG-WMLDXEAASA-N,PMC11129193,same_paper
CHEMBL5555942,13,C=CC(=O)N1C[C@H]2C[C@@H](Oc3nc(-c4cnn(C)c4)cn4nccc34)C[C@@H]1C2,SERKKWPCLAUPDA-VNQPRFMTSA-N,PMC11129193,same_paper
CHEMBL5518143,14,C=CC(=O)N1C[C@@H]2C[C@@H](Oc3nc(-c4cnn(C)c4)cn4nccc34)[C@@H]2C1,SQANDHIXHHTJSS-DXCKQFNASA-N,PMC11129193,same_paper
CHEMBL5550053,15,C=CC(=O)N1CC[C@H]2[C@@H](Oc3nc(-c4cnn(C)c4)cn4nccc34)C[C@H]21,QARNVRFWIILYHB-XYPHTWIQSA-N,PMC11129193,same_paper
CHEMBL5532190,16,C=CC(=O)N1C[C@@H]2[C@@H](COc3nc(-c4cnn(C)c4)cn4nccc34)[C@@H]2C1,SUNXTOGXWFWUHT-FICVDOATSA-N,PMC11129193,same_paper
CHEMBL5512502,17,C=CC(=O)N(C)[C@H]1CC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)CC1,PTXYFWCMODABLP-IYBDPMFKSA-N,PMC11129193,same_paper
CHEMBL5532361,18,C=CC(=O)N(C)[C@H]1CCC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,NYWCWYYJWLUGRT-JKSUJKDBSA-N,PMC11129193,same_paper
CHEMBL5555488,19,C=CC(=O)N(C)[C@H]1CC[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,IAGHFBWKPUXJLY-LSDHHAIUSA-N,PMC11129193,same_paper
CHEMBL5505923,20,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,JLDAHVDBMNCNIE-HDJSIYSDSA-N,PMC11129193,same_paper
CHEMBL5557093,21,C=CC(=O)N(C)[C@H]1C[C@@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,JLDAHVDBMNCNIE-OKILXGFUSA-N,PMC11129193,same_paper
CHEMBL5517827,22,C=CC(=O)N(C)C12CCCC(Oc3nc(-c4cnn(C)c4)cn4nccc34)(C1)C2,PKZFCJWULRBWCD-UHFFFAOYSA-N,PMC11129193,same_paper
CHEMBL5537092,23,C=CC(=O)N(C)C12CCC(Oc3nc(-c4cnn(C)c4)cn4nccc34)(C1)C2,ICHAHJBTTZHEEA-UHFFFAOYSA-N,PMC11129193,same_paper
CHEMBL5549912,24,C=CC(=O)N(C)[C@]1(C)C[C@H](Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,CRHQQIPBUBMXQQ-DHFPXDALSA-N,PMC11129193,same_paper
CHEMBL5532458,25; BIIB129,C=CC(=O)N(C)[C@H]1C[C@@](C)(Oc2nc(-c3cnn(C)c3)cn3nccc23)C1,WBFSPPPOPIJCLF-DHFPXDALSA-N,PMC11129193,same_paper
CHEMBL5557842,26,C=CC(=O)N1C[C@H]2C[C@](C)(Oc3nc(-c4cnn(C)c4)cn4nccc34)[C@H]2C1,CKKJXFYSGGWSOZ-AFBRZQFHSA-N,PMC11129193,same_paper
CHEMBL5557589,27,C=CC(=O)N1CC[C@@H]2[C@H]1C[C@]2(C)Oc1nc(-c2cnn(C)c2)cn2nccc12,RZOINIBREFUBMF-ZTQAJYAQSA-N,PMC11129193,same_paper
CHEMBL4650323,2,C=CC(=O)N1CCC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccc32)C1,KOEUOFPEZFUWRF-LJQANCHMSA-N,PMC11129193,same_paper
CHEMBL4072833,4,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,QUIWHXQETADMGN-UHFFFAOYSA-N,PMC11129193,same_paper
