measurement_id,chembl_id,paper_label,endpoint,state,relation,value,error,units,assay_context,assay_id,assay_chembl_id,source_kind,source_ref,source_note
m_biib_7_btk_ic50,CHEMBL5555158,7,BTK_IC50,biochemical,=,63.0,,nM,BTK_polyGAT_time_resolved_fluorescence,2424410,CHEMBL5502958,ChEMBL,activity_25837882,
m_biib_7_log_kinact_ki,CHEMBL5555158,7,log_kinact_Ki,biochemical,<,2.4,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837886,
m_biib_7_mdr1_ratio,CHEMBL5555158,7,MDR1_efflux_ratio,MDCK_MDR1,=,6.0,,ratio,MDCK_MDR1_apparent_permeability_efflux,2424413,CHEMBL5502961,ChEMBL,activity_25837928,
m_biib_10_btk_ic50,CHEMBL5558638,10,BTK_IC50,biochemical,=,0.5,,nM,BTK_polyGAT_time_resolved_fluorescence,2424410,CHEMBL5502958,ChEMBL,activity_25837885,
m_biib_10_log_kinact_ki,CHEMBL5558638,10,log_kinact_Ki,biochemical,=,4.43,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837889,
m_biib_10_wb_cd69,CHEMBL5558638,10,WB_CD69_IC50,human_whole_blood,=,0.333,,uM,anti_IgD_stimulated_CD19_B_cell_CD69,2424416,CHEMBL5502964,Paperclip_full_text_and_ChEMBL,activity_25837992;paper_line_228,Paper reports uM; ChEMBL numeric value retained but its standardized nM unit is inconsistent with the article.
m_biib_10_mdr1_ratio,CHEMBL5558638,10,MDR1_efflux_ratio,MDCK_MDR1,=,5.4,,ratio,MDCK_MDR1_apparent_permeability_efflux,2424413,CHEMBL5502961,ChEMBL,activity_25837932,Selected article-reported 5.4 row over duplicate 5.0 row.
m_biib_10_rlm_cl,CHEMBL5558638,10,intrinsic_clearance,rat_microsomes,=,820.0,,mL.min-1.kg-1,rat_liver_microsomes_intrinsic_clearance,2424414,CHEMBL5502962,ChEMBL,activity_25837953,
m_biib_10_hlm_cl,CHEMBL5558638,10,intrinsic_clearance,human_microsomes,=,74.2,,mL.min-1.kg-1,human_liver_microsomes_intrinsic_clearance,2424415,CHEMBL5502963,ChEMBL,activity_25837974,
m_biib_10_kpuu,CHEMBL5558638,10,Kp_uu_brain,rat,=,0.37,,ratio,rat_constant_infusion_unbound_brain_to_plasma,2424419,CHEMBL5502967,ChEMBL,activity_25838036,
m_biib_10_gsh_t_half,CHEMBL5558638,10,GSH_half_life,buffer,=,9.4,,hr,GSH_reactivity_half_life,2424420,CHEMBL5502968,ChEMBL,activity_25838047,
m_biib_11_log_kinact_ki,CHEMBL5556300,11,log_kinact_Ki,biochemical,=,4.11,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837890,
m_biib_11_wb_cd69,CHEMBL5556300,11,WB_CD69_IC50,human_whole_blood,=,1.72,,uM,anti_IgD_stimulated_CD19_B_cell_CD69,2424416,CHEMBL5502964,Paperclip_full_text_and_ChEMBL,activity_25837993;paper_line_274,Paper reports uM; ChEMBL standardized unit appears inconsistent.
m_biib_11_mdr1_ratio,CHEMBL5556300,11,MDR1_efflux_ratio,MDCK_MDR1,=,13.0,,ratio,MDCK_MDR1_apparent_permeability_efflux,2424413,CHEMBL5502961,ChEMBL,activity_25837933,
m_biib_11_rlm_cl,CHEMBL5556300,11,intrinsic_clearance,rat_microsomes,=,827.0,,mL.min-1.kg-1,rat_liver_microsomes_intrinsic_clearance,2424414,CHEMBL5502962,ChEMBL,activity_25837954,
m_biib_11_hlm_cl,CHEMBL5556300,11,intrinsic_clearance,human_microsomes,=,133.0,,mL.min-1.kg-1,human_liver_microsomes_intrinsic_clearance,2424415,CHEMBL5502963,ChEMBL,activity_25837975,
m_biib_12_log_kinact_ki,CHEMBL5527884,12,log_kinact_Ki,biochemical,=,5.06,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837891,
m_biib_12_wb_cd69,CHEMBL5527884,12,WB_CD69_IC50,human_whole_blood,=,0.087,,uM,anti_IgD_stimulated_CD19_B_cell_CD69,2424416,CHEMBL5502964,Paperclip_full_text_and_ChEMBL,activity_25837994;paper_line_279,Paper reports uM; ChEMBL standardized unit appears inconsistent.
m_biib_12_mdr1_ratio,CHEMBL5527884,12,MDR1_efflux_ratio,MDCK_MDR1,=,13.0,,ratio,MDCK_MDR1_apparent_permeability_efflux,2424413,CHEMBL5502961,ChEMBL,activity_25837934,
m_biib_12_rlm_cl,CHEMBL5527884,12,intrinsic_clearance,rat_microsomes,=,959.0,,mL.min-1.kg-1,rat_liver_microsomes_intrinsic_clearance,2424414,CHEMBL5502962,ChEMBL,activity_25837955,
m_biib_12_hlm_cl,CHEMBL5527884,12,intrinsic_clearance,human_microsomes,=,62.0,,mL.min-1.kg-1,human_liver_microsomes_intrinsic_clearance,2424415,CHEMBL5502963,ChEMBL,activity_25837976,
m_biib_12_gsh_t_half,CHEMBL5527884,12,GSH_half_life,buffer,=,0.8,,hr,GSH_reactivity_half_life,2424420,CHEMBL5502968,ChEMBL,activity_25838048,
m_biib_13_log_kinact_ki,CHEMBL5555942,13,log_kinact_Ki,biochemical,=,4.9,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837892,
m_biib_13_wb_cd69,CHEMBL5555942,13,WB_CD69_IC50,human_whole_blood,=,0.241,,uM,anti_IgD_stimulated_CD19_B_cell_CD69,2424416,CHEMBL5502964,Paperclip_full_text_and_ChEMBL,activity_25837995;paper_line_295,Paper reports uM; ChEMBL standardized unit appears inconsistent.
m_biib_13_mdr1_ratio,CHEMBL5555942,13,MDR1_efflux_ratio,MDCK_MDR1,=,6.1,,ratio,MDCK_MDR1_apparent_permeability_efflux,2424413,CHEMBL5502961,ChEMBL,activity_25837935,
m_biib_13_rlm_cl,CHEMBL5555942,13,intrinsic_clearance,rat_microsomes,=,556.0,,mL.min-1.kg-1,rat_liver_microsomes_intrinsic_clearance,2424414,CHEMBL5502962,ChEMBL,activity_25837956,
m_biib_13_hlm_cl,CHEMBL5555942,13,intrinsic_clearance,human_microsomes,=,135.0,,mL.min-1.kg-1,human_liver_microsomes_intrinsic_clearance,2424415,CHEMBL5502963,ChEMBL,activity_25837977,
m_biib_13_kpuu,CHEMBL5555942,13,Kp_uu_brain,rat,=,0.64,,ratio,rat_constant_infusion_unbound_brain_to_plasma,2424419,CHEMBL5502967,ChEMBL,activity_25838037,
m_biib_13_gsh_t_half,CHEMBL5555942,13,GSH_half_life,buffer,=,4.9,,hr,GSH_reactivity_half_life,2424420,CHEMBL5502968,ChEMBL,activity_25838049,
m_biib_17_log_kinact_ki,CHEMBL5512502,17,log_kinact_Ki,biochemical,=,2.4,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837896,
m_biib_17_wb_cd69,CHEMBL5512502,17,WB_CD69_IC50,human_whole_blood,>,10.0,,uM,anti_IgD_stimulated_CD19_B_cell_CD69,2424416,CHEMBL5502964,Paperclip_full_text_and_ChEMBL,activity_25837999,Paper reports uM; ChEMBL standardized unit appears inconsistent.
m_biib_17_mdr1_ratio,CHEMBL5512502,17,MDR1_efflux_ratio,MDCK_MDR1,=,4.1,,ratio,MDCK_MDR1_apparent_permeability_efflux,2424413,CHEMBL5502961,ChEMBL,activity_25837939,
m_biib_17_rlm_cl,CHEMBL5512502,17,intrinsic_clearance,rat_microsomes,=,33.0,,mL.min-1.kg-1,rat_liver_microsomes_intrinsic_clearance,2424414,CHEMBL5502962,ChEMBL,activity_25837960,
m_biib_17_hlm_cl,CHEMBL5512502,17,intrinsic_clearance,human_microsomes,=,18.0,,mL.min-1.kg-1,human_liver_microsomes_intrinsic_clearance,2424415,CHEMBL5502963,ChEMBL,activity_25837981,
m_biib_20_log_kinact_ki,CHEMBL5505923,20,log_kinact_Ki,biochemical,=,4.01,,,full_length_BTK_SOX_kinetic_assay,2424411,CHEMBL5502959,ChEMBL,activity_25837899,
m_biib_20_wb_cd69,CHEMBL5505923,20,WB_CD69_IC50,human_whole_blood,>,10.0,,uM,anti_IgD_stimulated_CD19_B_cell_CD69,2424416,CHEMBL5502964,Paperclip_full_text_and_ChEMBL,activity_25838002,Paper reports uM; ChEMBL standardized unit appears inconsistent.
m_biib_20_tmd8_ic50,CHEMBL5505923,20,TMD8_IC50,human_TMD8,>,1000.0,,nM,TMD8_cell_proliferation,2424417,CHEMBL5502965,ChEMBL,activity_25838019,
