measurement_id,chembl_id,paper_label,endpoint,state,relation,value,error,units,assay_context,assay_id,assay_chembl_id,source_kind,source_ref
m_bos_3_hlm_t_half,CHEMBL288441,3,microsomal_half_life,human,=,0.08,,hr,human_liver_microsomes_half_life,2364258,,ChEMBL,activity_25668961
m_bos_9_hlm_t_half,CHEMBL5435819,9,microsomal_half_life,human,=,0.1017,,hr,human_liver_microsomes_half_life,2364258,,ChEMBL,activity_25668962
m_bos_3_rlm_cl,CHEMBL288441,3,intrinsic_clearance,rat_microsomes,=,264.0,,mL.min-1.g-1,rat_liver_microsomes,2364259,,ChEMBL,activity_25668963
m_bos_9_rlm_cl,CHEMBL5435819,9,intrinsic_clearance,rat_microsomes,=,185.0,,mL.min-1.g-1,rat_liver_microsomes,2364259,,ChEMBL,activity_25668964
m_bos_3_hlm_cl,CHEMBL288441,3,intrinsic_clearance,human_microsomes,=,288.0,,mL.min-1.g-1,human_liver_microsomes,2364260,,ChEMBL,activity_25668965
m_bos_9_hlm_cl,CHEMBL5435819,9,intrinsic_clearance,human_microsomes,=,228.0,,mL.min-1.g-1,human_liver_microsomes,2364260,,ChEMBL,activity_25668966
m_bos_3_rlm_t_half,CHEMBL288441,3,microsomal_half_life,rat,=,0.08833,,hr,rat_liver_microsomes_half_life,2364261,,ChEMBL,activity_25668967
m_bos_9_rlm_t_half,CHEMBL5435819,9,microsomal_half_life,rat,=,0.1267,,hr,rat_liver_microsomes_half_life,2364261,,ChEMBL,activity_25668968
m_bos_17_logd,CHEMBL5431908,17,LogD,pH_7.4,=,0.9,,log10,shake_flask_logD_pH_7.4,2364262,,ChEMBL,activity_25668971
m_bos_18_logd,CHEMBL5408134,18,LogD,pH_7.4,=,1.0,,log10,shake_flask_logD_pH_7.4,2364262,,ChEMBL,activity_25668972
m_bos_3_logd,CHEMBL288441,3,LogD,pH_7.4,=,3.1,,log10,shake_flask_logD_pH_7.4,2364262,,ChEMBL,activity_25668969
m_bos_9_logd,CHEMBL5435819,9,LogD,pH_7.4,=,3.5,,log10,shake_flask_logD_pH_7.4,2364262,,ChEMBL,activity_25668970
m_bos_9_fu_mouse,CHEMBL5435819,9,fraction_unbound,mouse,=,0.028,,fraction,mouse_plasma_protein_binding,2364263,,ChEMBL,activity_25668974
m_bos_3_fu_rat,CHEMBL288441,3,fraction_unbound,rat,=,0.072,,fraction,rat_plasma_protein_binding,2364264,,ChEMBL,activity_25668975
m_bos_9_fu_rat,CHEMBL5435819,9,fraction_unbound,rat,=,0.065,,fraction,rat_plasma_protein_binding,2364264,,ChEMBL,activity_25668976
m_bos_3_fu_human,CHEMBL288441,3,fraction_unbound,human,=,0.045,,fraction,human_plasma_protein_binding,2364265,,ChEMBL,activity_25668977
