measurement_id,chembl_id,paper_label,endpoint,state,relation,value,error,units,assay_context,assay_id,assay_chembl_id,source_kind,source_ref
m_12b_pki_trans,CHEMBL6190593,12b,pKi,trans,<,5.0,,pLog,human_beta2_HEK293T_competition_binding,2674705,CHEMBL6187330,ChEMBL+supplement,activity_29321841;SI_table_1
m_12e_pki_trans,CHEMBL6188669,12e,pKi,trans,<,5.0,,pLog,human_beta2_HEK293T_competition_binding,2674705,CHEMBL6187330,ChEMBL+supplement,activity_29321844;SI_table_1
m_12b_pki_pss_cis,CHEMBL6190593,12b,pKi,PSS-cis,=,6.4,0.2,pLog,human_beta2_HEK293T_competition_binding,2674706,CHEMBL6187331,ChEMBL+supplement,activity_29321848;SI_table_1
m_12e_pki_pss_cis,CHEMBL6188669,12e,pKi,PSS-cis,<,5.0,,pLog,human_beta2_HEK293T_competition_binding,2674706,CHEMBL6187331,ChEMBL+supplement,activity_29321850;SI_table_1
m_12b_pec50_trans,CHEMBL6190593,12b,pEC50,trans,=,6.7,0.3,pLog,human_beta2_HEK293_functional_agonism,2674710,CHEMBL6187335,ChEMBL+supplement,activity_29321857;SI_table_1
m_12b_alpha_trans,CHEMBL6190593,12b,intrinsic_activity_alpha,trans,=,0.5,0.2,fraction,human_beta2_HEK293_functional_agonism,2674715,CHEMBL6187340,ChEMBL+supplement,activity_29321871;SI_table_1
m_12e_alpha_trans,CHEMBL6188669,12e,intrinsic_activity_alpha,trans,=,0.0,0.0,fraction,human_beta2_HEK293_functional_agonism,2674715,CHEMBL6187340,ChEMBL+supplement,activity_29321874;SI_table_1
m_12b_pkb_trans,CHEMBL6190593,12b,pKb,trans,=,6.5,0.5,pLog,human_beta2_HEK293_functional_antagonism,2674718,CHEMBL6187343,ChEMBL+supplement,activity_29321883;SI_table_1
m_12e_pkb_trans,CHEMBL6188669,12e,pKb,trans,<,5.0,,pLog,human_beta2_HEK293_functional_antagonism,2674718,CHEMBL6187343,ChEMBL+supplement,activity_29321886;SI_table_1
m_12b_pkb_pss_cis,CHEMBL6190593,12b,pKb,PSS-cis,=,6.9,0.2,pLog,human_beta2_HEK293_functional_antagonism,2674719,CHEMBL6187344,ChEMBL+supplement,activity_29321890;SI_table_1
m_12e_pkb_pss_cis,CHEMBL6188669,12e,pKb,PSS-cis,=,6.8,0.2,pLog,human_beta2_HEK293_functional_antagonism,2674719,CHEMBL6187344,ChEMBL+supplement,activity_29321892;SI_table_1
m_12b_delta_pkb,CHEMBL6190593,12b,photoinduced_delta_pKb,trans_to_PSS-cis,=,0.4,0.4,pLog,human_beta2_HEK293_functional_antagonism,2674721,CHEMBL6187346,ChEMBL+supplement,activity_29321895;SI_table_1
m_12e_delta_pkb,CHEMBL6188669,12e,photoinduced_delta_pKb,trans_to_PSS-cis,>,1.8,,pLog,human_beta2_HEK293_functional_antagonism,2674721,CHEMBL6187346,ChEMBL+supplement,activity_29321897;SI_table_1
m_12b_t_half,CHEMBL6190593,12b,thermal_relaxation_t_half,HBSS,=,2688,,hr,photothermal_stability_HBSS,2674704,CHEMBL6187329,ChEMBL,activity_29321836
m_12e_t_half,CHEMBL6188669,12e,thermal_relaxation_t_half,HBSS,=,264,,hr,photothermal_stability_HBSS,2674704,CHEMBL6187329,ChEMBL,activity_29321839
m_18_pki,CHEMBL6189525,18,pKi,not_applicable,=,7.7,0.1,pLog,human_beta2_HEK293T_competition_binding,,,supplement,SI_table_1
m_18_pec50,CHEMBL6189525,18,pEC50,not_applicable,=,9.0,0.0,pLog,human_beta2_HEK293_functional_agonism,,,supplement,SI_table_1
m_18_alpha,CHEMBL6189525,18,intrinsic_activity_alpha,not_applicable,=,0.8,0.0,fraction,human_beta2_HEK293_functional_agonism,,,supplement,SI_table_1
