candidate_id,reason_id,parent_chembl_id,parent_label,child_chembl_id,child_label,edge_semantics,historical_parent_claim,context,parent_fragment,child_fragment,transformation,cut_count,valid_single_cut_mmp,hydrogen_change,algorithm,rank,parent_rank,reason_transform_alignment,retained_core_fraction,edit_compactness,same_numbered_series,whole_molecule_tanimoto,ranking_score_uncalibrated,alignment_checks
cand_2733e4cae1a1fa2a,PMC4207553:series:appendage_dmpk,CHEMBL1873309,2,CHEMBL3343648,3,structure_only_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)Nc3ccc([*:1])cc3)ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,[*:1][H],F[*:1],[*:1][H]>>F[*:1],1,True,True,single_cut_rdkit_mmpa+h_v1,1,1,,0.980392,0.916667,0.0,0.951807,0.574061,[]
cand_5b58142258d55a14,PMC4207553:series:appendage_dmpk,CHEMBL3343649,4,CHEMBL3343648,3,structure_only_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,C1OCC1[*:1],Fc1ccc([*:1])cc1,C1OCC1[*:1]>>Fc1ccc([*:1])cc1,1,True,False,single_cut_rdkit_mmpa+h_v1,3,2,,0.862745,0.416667,0.0,0.875,0.429044,[]
cand_db32e008eda0ab6f,PMC4207553:series:appendage_dmpk,CHEMBL3343650,5,CHEMBL3343648,3,structure_only_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,Cc1noc(C)c1[*:1],Fc1ccc([*:1])cc1,Cc1noc(C)c1[*:1]>>Fc1ccc([*:1])cc1,1,True,False,single_cut_rdkit_mmpa+h_v1,4,3,,0.862745,0.416667,0.0,0.847826,0.427685,[]
cand_8fb81d855803d35b,PMC4207553:4:oxetane_solubility,CHEMBL1873309,2,CHEMBL3343649,4,reason_constrained_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,c1ccc([*:1])cc1,C1OCC1[*:1],c1ccc([*:1])cc1>>C1OCC1[*:1],1,True,False,single_cut_rdkit_mmpa+h_v1,1,1,1.0,0.88,0.5,0.0,0.836957,0.749848,"[{""feature"": ""phenyl"", ""matched"": true, ""side"": ""parent"", ""supported"": true}, {""feature"": ""oxetane"", ""matched"": true, ""side"": ""child"", ""supported"": true}]"
cand_02c995c7e2028c67,PMC4207553:4:oxetane_solubility,CHEMBL3343648,3,CHEMBL3343649,4,reason_constrained_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,Fc1ccc([*:1])cc1,C1OCC1[*:1],Fc1ccc([*:1])cc1>>C1OCC1[*:1],1,True,False,single_cut_rdkit_mmpa+h_v1,2,2,1.0,0.862745,0.416667,0.0,0.875,0.729044,"[{""feature"": ""phenyl"", ""matched"": true, ""side"": ""parent"", ""supported"": true}, {""feature"": ""oxetane"", ""matched"": true, ""side"": ""child"", ""supported"": true}]"
cand_ca38e0c01206490a,PMC4207553:4:oxetane_solubility,CHEMBL3343650,5,CHEMBL3343649,4,structure_only_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,Cc1noc(C)c1[*:1],C1OCC1[*:1],Cc1noc(C)c1[*:1]>>C1OCC1[*:1],1,True,False,single_cut_rdkit_mmpa+h_v1,5,3,0.5,0.862745,0.416667,0.0,0.77,0.573794,"[{""feature"": ""phenyl"", ""matched"": false, ""side"": ""parent"", ""supported"": true}, {""feature"": ""oxetane"", ""matched"": true, ""side"": ""child"", ""supported"": true}]"
cand_c186151c493db474,PMC4207553:5:dimethylisoxazole_solubility,CHEMBL3343648,3,CHEMBL3343650,5,reason_constrained_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,Fc1ccc([*:1])cc1,Cc1noc(C)c1[*:1],Fc1ccc([*:1])cc1>>Cc1noc(C)c1[*:1],1,True,False,single_cut_rdkit_mmpa+h_v1,1,1,1.0,0.862745,0.416667,0.0,0.847826,0.727685,"[{""feature"": ""phenyl"", ""matched"": true, ""side"": ""parent"", ""supported"": true}, {""feature"": ""dimethylisoxazole"", ""matched"": true, ""side"": ""child"", ""supported"": true}]"
cand_293519ba3ca30197,PMC4207553:5:dimethylisoxazole_solubility,CHEMBL1873309,2,CHEMBL3343650,5,reason_constrained_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,c1ccc([*:1])cc1,Cc1noc(C)c1[*:1],c1ccc([*:1])cc1>>Cc1noc(C)c1[*:1],1,True,False,single_cut_rdkit_mmpa+h_v1,2,2,1.0,0.862745,0.416667,0.0,0.8125,0.725919,"[{""feature"": ""phenyl"", ""matched"": true, ""side"": ""parent"", ""supported"": true}, {""feature"": ""dimethylisoxazole"", ""matched"": true, ""side"": ""child"", ""supported"": true}]"
cand_42bce8a96e18946e,PMC4207553:5:dimethylisoxazole_solubility,CHEMBL3343649,4,CHEMBL3343650,5,structure_only_mmp_comparator,False,C[C@@H]1CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)N[*:1])ccc2O[C@@H](C)CCCCO[C@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,C1OCC1[*:1],Cc1noc(C)c1[*:1],C1OCC1[*:1]>>Cc1noc(C)c1[*:1],1,True,False,single_cut_rdkit_mmpa+h_v1,5,3,0.5,0.862745,0.416667,0.0,0.77,0.573794,"[{""feature"": ""phenyl"", ""matched"": false, ""side"": ""parent"", ""supported"": true}, {""feature"": ""dimethylisoxazole"", ""matched"": true, ""side"": ""child"", ""supported"": true}]"
cand_725685dc75ceafbf,PMC4207553:5:dimethylisoxazole_solubility,CHEMBL3344372,6,CHEMBL3343650,5,structure_only_mmp_comparator,False,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CN(C)[*:1])C[C@@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(F)cc1)OCCCC[C@H](C)O2,[*:1][H],C[*:1],[*:1][H]>>C[*:1],1,True,True,single_cut_rdkit_mmpa+h_v1,6,4,0.0,0.980392,0.916667,0.0,0.886598,0.5708,"[{""feature"": ""phenyl"", ""matched"": false, ""side"": ""parent"", ""supported"": true}, {""feature"": ""dimethylisoxazole"", ""matched"": false, ""side"": ""child"", ""supported"": true}]"
