comparison_id,reason_id,parent_measurement_id,child_measurement_id,higher_is_better,equivalence_margin,relation_to_stated_intent,parent_chembl_id,child_chembl_id,endpoint,state,parent_relation,parent_value,child_relation,child_value,units,assay_comparability,mismatched_fields,classification,delta_lower,delta_upper,delta_orientation,comparison_scale,censoring_preserved
12b_12e_pki_trans,PMC12225454:12e:chlorocyano_sar,m_12b_pki_trans,m_12e_pki_trans,True,0.3,mechanistic_proxy_not_the_stated_bronchodilation_endpoint,CHEMBL6190593,CHEMBL6188669,pKi,trans,<,5.0,<,5.0,pLog,exact_context_match,[],indeterminate,,,child_minus_parent; positive_is_better,linear,True
12b_12e_pki_pss_cis,PMC12225454:12e:chlorocyano_sar,m_12b_pki_pss_cis,m_12e_pki_pss_cis,True,0.3,mechanistic_proxy_not_the_stated_bronchodilation_endpoint,CHEMBL6190593,CHEMBL6188669,pKi,PSS-cis,=,6.4,<,5.0,pLog,exact_context_match,[],worsened,,-1.4,child_minus_parent; positive_is_better,linear,True
12b_12e_alpha_trans,PMC12225454:12e:chlorocyano_sar,m_12b_alpha_trans,m_12e_alpha_trans,True,0.1,mechanistic_proxy_not_the_stated_bronchodilation_endpoint,CHEMBL6190593,CHEMBL6188669,intrinsic_activity_alpha,trans,=,0.5,=,0.0,fraction,exact_context_match,[],worsened,-0.5,-0.5,child_minus_parent; positive_is_better,linear,False
12b_12e_pkb_trans,PMC12225454:12e:chlorocyano_sar,m_12b_pkb_trans,m_12e_pkb_trans,True,0.3,adjacent_pharmacology,CHEMBL6190593,CHEMBL6188669,pKb,trans,=,6.5,<,5.0,pLog,exact_context_match,[],worsened,,-1.5,child_minus_parent; positive_is_better,linear,True
12b_12e_pkb_pss_cis,PMC12225454:12e:chlorocyano_sar,m_12b_pkb_pss_cis,m_12e_pkb_pss_cis,True,0.3,adjacent_pharmacology,CHEMBL6190593,CHEMBL6188669,pKb,PSS-cis,=,6.9,=,6.8,pLog,exact_context_match,[],comparable,-0.1,-0.1,child_minus_parent; positive_is_better,linear,False
12b_12e_photo_shift,PMC12225454:series:azoextension,m_12b_delta_pkb,m_12e_delta_pkb,True,0.3,direct_supporting_endpoint,CHEMBL6190593,CHEMBL6188669,photoinduced_delta_pKb,trans_to_PSS-cis,=,0.4,>,1.8,pLog,exact_context_match,[],improved,1.4,,child_minus_parent; positive_is_better,linear,True
12b_12e_thermal_half_life,PMC12225454:series:azoextension,m_12b_t_half,m_12e_t_half,True,24.0,photochemical_tradeoff,CHEMBL6190593,CHEMBL6188669,thermal_relaxation_t_half,HBSS,=,2688,=,264,hr,exact_context_match,[],worsened,-2424.0,-2424.0,child_minus_parent; positive_is_better,linear,False
pf1_pf2_hlm_clearance,PMC5807869:2:late_stage_oxidation,m_pf1_hlm_cl,m_pf2_hlm_cl,False,0.3,direct_supporting_endpoint,CHEMBL4160171,CHEMBL4062397,intrinsic_clearance,not_applicable,=,16.0,<,8.0,mL.min-1.kg-1,exact_context_match,[],improved,0.30103,,child_minus_parent; positive_is_better,log10,True
pf1_pf2_hepatocyte_clearance,PMC5807869:2:late_stage_oxidation,m_pf1_hep_cl,m_pf2_hep_cl,False,0.3,direct_supporting_endpoint,CHEMBL4160171,CHEMBL4062397,intrinsic_clearance,not_applicable,=,18.0,<,0.36,mL.min-1.kg-1,exact_context_match,[],improved,1.69897,,child_minus_parent; positive_is_better,log10,True
pf1_pf2_pde2_potency,PMC5807869:2:late_stage_oxidation,m_pf1_pde2_ic50,m_pf2_pde2_ic50,False,0.3,target_potency_tradeoff,CHEMBL4160171,CHEMBL4062397,IC50,not_applicable,=,0.6,=,0.4,nM,exact_context_match,[],comparable,0.176091,0.176091,child_minus_parent; positive_is_better,log10,False
series_appendage_dmpk_2_3_gi50,PMC4207553:series:appendage_dmpk,m_am_2_gi50,m_am_3_gi50,False,0.3,target_potency_tradeoff,CHEMBL1873309,CHEMBL3343648,GI50,not_applicable,=,0.54,=,1.4,nM,exact_context_match,[],worsened,-0.413734,-0.413734,child_minus_parent; positive_is_better,log10,False
